# Approved share changes for epoch 22 (Mar 2026: blocks 56142314-57729994)
# Each line: address  reason
# Investigated 2026-04-07

# Large increases — active LP management
0x21ff3c05de1c752c4ab87af330f409e691302edc  7 deposits, 7 withdrawals — active LP rebalancing across all tokens
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063  prior position grew relative to pool — no epoch LP activity
0x6a836bddaf968c342e0a86ca21e67b4464ef6a1c  prior position grew relative to pool — no epoch LP activity
0xe74879d0721077e632e0c87ae2857423e40d4855  prior position grew relative to pool — no epoch LP activity
0x62d02b1ecd2ae1315ae4f2959b39b71427aee101  prior position grew relative to pool — no epoch LP activity
0xea04812dd7467ed61fdf3180ce6271e8828e72de  prior position grew relative to pool — no epoch LP activity
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a  1 deposit, 3 withdrawals — LP rebalancing
0xe8bd64ed3ae0a16ebc76b74ef98336742f58f1fb  prior position grew relative to pool — no epoch LP activity
0x1dbe2c010cdeba22606798438ebd3075980924fa  prior position grew relative to pool — no epoch LP activity
0x64b53691a7a26744e4fc05120ed6dbdb02ca335a  prior position grew relative to pool — no epoch LP activity
0xda614b9fc056430e890bdd6a4c0df9e2b351643b  prior position grew relative to pool — no epoch LP activity
0xd6e402fdb1841d81cdbf66919e8a7b3309e16099  prior position grew relative to pool — no epoch LP activity
0x38c76d307521182891e90be38b826064e7f0fcb5  prior position grew relative to pool — no epoch LP activity
0xdac9c53972ceb15d55ca63b5ca73d656825b026d  prior position grew relative to pool — no epoch LP activity

# Large drops — LP withdrawals or dilution
0x59047700a48846437c5fd6dda228e05d096b5b5c  5 LP withdrawals during epoch — reduced position
0xbaf4f541633533e6044962c491251d6aeda4e131  1 LP withdrawal during epoch
0xb83f6ec41a81c47d7dde14348c816ae752c9bd03  prior position diluted by other accounts' growth
0xabca8a8b5787860aa8f6c478747314bccb702e61  prior position diluted by other accounts' growth
0xb5b5ac6f6064f0de452149e9c7bac376bf71f734  1 deposit, 1 withdrawal — LP rebalancing, net decrease
0xca977a85327dd36494d57ff11ca3be02af1142aa  1 LP withdrawal during epoch
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d  prior position diluted by other accounts' growth

# New entrants
0x092c0f2af38dbf75415f896225ed9c9435f548c0  3 LP withdrawals during epoch — adjusting existing position
0x4f3973a294b3d2f96f6cf1a783ae95cc61904499  4 LP withdrawals during epoch — adjusting existing position
0x7fcebd30aedb2a6cda68df4205bb45339c21a00d  prior position — no epoch LP activity
0xfd6597554f07daf3c1f1d408d1eef3caa0dab8d9  prior position — no epoch LP activity
0x1aa9f1d63f6fb2f59b52ff4d14e35d554ea50774  1 LP deposit during epoch

# Exited accounts
0x93acbf50da57390fd1dddff40178920636b686e0  no LP activity — boughtCap exhausted
0xe94ca2d70d1d8b8abf6e244119598bfc9536eca1  1 LP withdrawal — exited position
0xfb4ceb43d0c38dd9826aaae783ebaa576f7a720c  no LP activity — boughtCap exhausted
0x80ed9a16f42e38c6ebf43d19b1e2c3dfdb34788f  no LP activity — boughtCap exhausted
0x02c03c6ab3955a78602b47dca2e675f86953466a  1 LP withdrawal — exited position
0x28de514641034f2d900cf17c25cefbfec851559a  1 LP withdrawal — exited position
0x5f339d24f72d02e3fc9020fa9f16695c554d6867  1 LP withdrawal — exited position
0x1eeb33f734caf7b8c823760825bae2fb3acd0994  no LP activity — boughtCap exhausted
0xd507b55a3c55d704375a93c24b7092c13c061e04  1 LP withdrawal — exited position
0xf1bee8834c4745726172dfbe9edc9ff08ef2245c  4 deposits, 2 withdrawals — net exit
0xd5a22c790c948cd0062bb3f1f657d566f8407c25  no LP activity — boughtCap exhausted
0x086a4f4bfe0b4a0d51309b286123c30da2e47a63  2 LP withdrawals — exited position
0x09ec36b6cf27285205b8f6617d59e0e9705d865a  no LP activity — boughtCap exhausted
0xcadbede22ed7b608227be830d1d1324fee7d3288  no LP activity — boughtCap exhausted
0x820e9b01dd1fa16e9cb79ae54c6a66da4abf9562  no LP activity — boughtCap exhausted
